"year","month","weighted_mean_micro","mean_micro","median_micro","sd_micro","max_micro","min_micro"
1998,"1",0.288399878075128,0.275768112572955,0.275606274604797,0.114063676124881,1.57249069213867,0.062250692397356
1998,"10",0.380264276926638,0.338617120108398,0.187631666660309,0.332832786628304,1.81307184696198,0.0552806332707405
1998,"11",0.799980369181551,0.747728255501756,0.672543823719025,0.358173817034201,2.94518351554871,0.179296806454659
1998,"12",0.462187401470937,0.461954330614686,0.442500501871109,0.141044715940672,1.18446040153503,0.15227784216404
1998,"2",0.286101582730783,0.289906750913791,0.286659300327301,0.0470913567308856,0.51067328453064,0.170721784234047
1998,"3",0.47800406204141,0.479802655876318,0.393094092607498,0.231870053553933,1.45437562465668,0.154581964015961
1998,"4",0.443274137841527,0.45692860810643,0.433736175298691,0.128290087253002,1.05639362335205,0.184862554073334
1998,"5",0.281850715481662,0.27983817211458,0.263443857431412,0.115430291455761,3.10175180435181,0.156227320432663
1998,"6",0.192282053930109,0.187556297184379,0.156851008534431,0.0755007210588362,0.437662988901138,0.0649674981832504
1998,"7",0.111916624181573,0.108360683616246,0.107230305671692,0.0351349852769786,0.305529654026031,0.0448854714632034
1998,"8",0.0685228389503484,0.0669290264425356,0.063671663403511,0.020763037274128,0.195767059922218,0.0359303615987301
1998,"9",0.0978592800661974,0.0946639988634705,0.0909694656729698,0.0326291198495246,0.538744270801544,0.0407344400882721
1999,"1",0.322323358733834,0.32472849852643,0.313343733549118,0.0782089417709686,0.757051885128021,0.0831220671534538
1999,"10",0.127747571948074,0.128276215341584,0.120604954659939,0.0687796119830585,0.699204444885254,0.0341778285801411
1999,"11",0.312354121359849,0.295850264293289,0.263993233442307,0.170772873938195,2.31099033355713,0.0508100651204586
1999,"12",0.214804123370448,0.205177382840096,0.199192926287651,0.0834216172846007,0.772757172584534,0.0571273267269135
1999,"2",0.316505062218562,0.301084650088601,0.293966293334961,0.100458288334447,1.06548404693604,0.100138381123543
1999,"3",0.465211060408927,0.471031090821686,0.422078117728233,0.21266016256263,3.11002540588379,0.0936941653490067
1999,"4",0.510794634278948,0.499962776833314,0.479199528694153,0.16915914657022,1.70670688152313,0.143541306257248
1999,"5",0.333235765593535,0.309006301764694,0.25166442990303,0.22007834914393,1.85728800296783,0.0452352091670036
