"year","month","weighted_mean_sst","mean_sst","median_sst","sd_sst","max_sst","min_sst"
2000,10,17.4823998231656,17.5349272461612,17.8518915176392,1.40546400854432,20.7053546905518,14.3461751937866
2000,11,13.4665572570307,13.582406822187,13.7289519309998,1.35191982672714,17.5500030517578,10.8399963378906
2000,12,11.40745574107,11.5943066098348,11.0200042724609,1.49890939862437,16.8585720062256,8.99000549316406
2000,2,9.8938051129059,10.063524960617,10.0699996948242,2.10272860634889,17.2825012207031,5.01998901367188
2000,3,9.22413236043677,9.43775351414807,9.22186851501465,1.59706577043986,12.8772230148315,6.68076515197754
2000,4,9.30340465195563,9.45121612614776,9.15904235839844,1.19028222059814,13.7700004577637,7.03333282470703
2000,5,12.4692936437944,12.5450734042498,12.6629538536072,0.974608484184496,15.400279045105,10.0463161468506
2000,6,16.8306624176427,17.0126287665131,16.8150014877319,1.70342767486251,21.2033386230469,13.1360006332397
2000,7,20.4597707953953,20.6704444009617,20.618124961853,1.99162742433582,24.1336822509766,16.4832172393799
2000,8,22.6771849788895,22.7407043580133,22.8139991760254,1.04033366997069,25.0483341217041,18.3399963378906
2000,9,21.3319447293474,21.3781539848846,22.0515537261963,1.46975531916502,23.0782318115234,17.4613285064697
2001,1,9.14276880998841,9.4637390276674,8.73222541809082,2.34291876871498,15.649998664856,6.30166625976562
2001,10,18.5608610537858,18.6363118498132,18.6583976745605,1.10418875864348,21.4982109069824,16.1521034240723
2001,11,14.9560618780256,15.0842975939964,15.2580947875977,1.42282290285441,17.9529361724854,12.5299987792969
2001,12,14.2661308183692,14.4212920137245,14.303165435791,1.72646834813901,18.6857128143311,11.0783338546753
2001,2,7.62024642859246,7.85290858684207,7.3660774230957,1.83893320595644,17.179162979126,5.62636756896973
2001,3,7.04979470593237,7.17118654295064,6.97367763519287,1.26279966920364,11.3199987411499,4.82954549789429
2001,4,7.63450955430653,7.78854525249553,7.55224776268005,1.40824907196382,12.2043342590332,5.56411218643188
2001,5,12.6773566916047,12.784149405501,12.4474992752075,2.52125149650302,19.7431774139404,7.16300058364868
2001,6,16.5377297964966,16.7438581542148,16.5611095428467,2.03033432439876,22.7457141876221,11.6408338546753
2001,7,21.5573776358579,21.6889468950351,22.072998046875,1.65417537692684,24.2452583312988,17.1093349456787
2001,8,23.2794236282769,23.3639006422338,23.4187488555908,1.06160871818926,24.883882522583,19.8457870483398
2001,9,23.5069074126391,23.5557433947938,23.5794944763184,0.871368358206057,25.6473293304443,19.792724609375
2002,1,11.375901919717,11.6658519135042,10.9675693511963,2.54516264299001,18.5810489654541,7.46000385284424
2002,10,20.2353957091756,20.2556533798822,20.4842042922974,1.29421279233486,22.6663627624512,15.5330438613892
2002,11,15.6158647891226,15.601693840701,15.9939570426941,1.67914382855567,19.1575012207031,12.6637535095215
2002,12,11.9160630726344,12.0729673459262,11.7635703086853,1.72940604947121,15.5358304977417,8.49111080169678
2002,2,8.70984179762611,8.94640644156287,8.65737676620483,2.12451313003926,16.7442817687988,5.20650005340576
2002,3,8.66967480508548,8.93523547826159,8.38892650604248,2.23778167683205,16.4289951324463,5.68777799606323
2002,4,9.63998198522273,9.86196315888483,9.34519100189209,1.69632168596912,14.9273681640625,7.19249534606934
2002,5,11.9231382487117,12.1991123420387,11.793475151062,2.2089507303371,18.7142848968506,8.57470321655273
2002,6,16.7323143809665,16.9864447581232,16.519250869751,1.96400130635149,21.8949966430664,13.5456218719482
2002,7,21.5566211908061,21.7644386331805,21.2964115142822,2.03656077389145,25.7652359008789,17.0029411315918
2002,8,23.9861599460162,24.143329681546,23.8418140411377,1.15533853974977,26.3829174041748,21.4209518432617
2002,9,22.7979176023667,22.8515717857762,22.7784986495972,0.950971847101661,25.4529399871826,19.2439994812012
2003,1,9.37520060637498,9.54633601097432,8.97100257873535,1.61903066720679,13.6330757141113,6.26999521255493
2003,10,18.9016453224092,18.998087842328,19.0414047241211,1.33632760863895,22.7020015716553,15.269998550415
2003,11,14.1607895830899,14.3547962877872,13.9461507797241,1.48178492947236,19.5269966125488,12.1750011444092
2003,12,10.7902607585417,10.9312293024829,10.5454549789429,1.14905233173493,14.216362953186,8.73740577697754
2003,2,7.40676302070108,7.6586327441051,6.65785431861877,2.07443993187312,14.3108320236206,5.00562286376953
2003,3,6.10573320296776,6.30834238061161,5.97988080978394,1.92704999954451,10.6408815383911,2.98888659477234
2003,4,7.59720476656353,7.74433618822878,7.58826446533203,1.16567244264626,10.0979413986206,5.07384061813354
2003,5,11.759580161531,11.8304158687775,11.5809965133667,1.52988321333047,16.5538215637207,8.41307640075684
2003,6,16.8169378443273,16.8786789032756,16.7728548049927,0.954609983562537,19.2597503662109,14.2733325958252
2003,7,22.0736267391363,22.1782137947361,22.069787979126,0.823097251705727,24.2514991760254,20.0427265167236
2003,8,23.7674568986183,23.8398642637067,24.3209981918335,1.20886738315693,25.2261905670166,20.6566638946533
2003,9,22.7943965709844,22.8663464350926,22.7576160430908,0.781551814581951,25.0026302337646,20.8824996948242
2004,1,9.31547622824044,9.46428011950282,9.31900024414062,1.2864327574746,17.1800079345703,6.08333349227905
2004,10,18.7219857254941,18.7553098426156,19.0047035217285,1.45193996813788,21.7253818511963,14.521764755249
2004,11,13.4268152072253,13.5796014626027,13.4225044250488,1.24552373540447,16.5271053314209,9.9306640625
2004,12,11.3003621552983,11.4650000448736,11.5145568847656,1.34340655066521,16.2710514068604,7.91681718826294
2004,2,6.16486213370117,6.48153903243453,5.68947410583496,2.23354281332735,10.7783317565918,3.13528800010681
