"year","month","weighted_mean_bt","mean_bt","median_bt","sd_bt","max_bt","min_bt"
1970,1,12.3190587401112,12.3266497614967,12.3186196962992,1.49441329209174,15.5143196105957,7.79802700678507
1970,2,10.3213326725662,10.4264013345355,10.3750457763672,1.62724381379597,15.5766334533691,6.83634965760367
1970,3,10.3628966888876,10.4254810877564,10.4691261476086,1.34466413773103,14.7727561150828,6.47462841772264
1970,4,10.4767177507303,10.4398392655691,10.5102273623149,1.35827922454201,13.574568271637,6.55729664166768
1970,5,10.5147994749949,10.6510456432219,10.736289424281,1.58443471050761,14.0518255541402,6.48765350157215
1970,6,10.9348374301895,11.0606320788489,11.2180293401082,1.36788787762251,14.5279343605042,7.02518135706584
1970,7,11.0894083625625,11.2611094602769,11.5657351709181,1.4307220697894,14.2673657325006,6.23117290004607
1970,8,10.9663592133526,11.1364623383143,11.1955580865183,1.5004767186136,14.8513409706854,6.73591967551939
1970,9,10.6262433322742,10.8407328858693,10.9534956296285,1.61161179047166,14.9499274889628,6.02888698577881
1970,10,10.9611882633575,11.0770306329625,11.3078805861935,1.54450994745564,15.964898017145,6.40546452614569
1970,11,11.4042480582329,11.4651658463796,11.5135390281677,1.65174297607371,17.3313189506531,6.52607231140137
1970,12,11.9069547879048,12.0019352507643,12.3485717158164,1.76194315617564,16.4585000007383,6.39325671042165
1971,1,11.2878736688217,11.3862035886293,11.6154159115207,1.51200716133791,14.4421670052313,6.93534000458256
1971,2,8.93023487254758,9.08027843357268,9.07198575564793,1.46760985148034,13.7847018241882,5.69074717589787
1971,3,9.22273513540226,9.32808267433413,9.42141997429632,1.11217601318384,12.5629338295229,5.77391581381521
1971,4,8.99524655715992,8.9747140484492,8.98972698847453,1.15730392344583,11.842368666331,5.39363664786021
1971,5,9.47244992825691,9.57083711927681,9.61825127755442,1.28252655505657,12.713493839387,5.63083576386975
1971,6,10.0129982201269,10.0430567047119,10.2767979303996,1.24802151334926,13.2292899767558,6.04287832578023
1971,7,9.85337449963011,9.94587653592838,10.1967871573664,1.28803348363828,12.4192493192611,5.12571994719967
1971,8,10.3886465435143,10.4688958809555,10.6535735284128,1.41371906847333,13.880882324711,5.98756064138105
1971,9,10.51307265993,10.6506028618283,10.891120783488,1.54297846394891,14.0833697001139,5.52155699729919
1971,10,11.1911120034405,11.2958806696246,11.8046942064839,1.67177300328099,14.3018208780596,5.86355970751855
1971,11,11.465043078484,11.5825678095924,12.1037206967672,1.77818880545062,15.2841787338257,6.10466734568278
1971,12,11.7863023340561,11.8793666942555,12.0366107263873,2.02382843332152,15.7835321734028,5.84397225226125
1972,1,12.6506539667337,12.5580620200865,12.9672974001977,1.92576091676012,16.6375638592628,6.72435614370531
1972,2,11.0796553827843,11.0590644528181,11.0677307063136,1.35500504690011,13.9813003211186,5.90763693842395
1972,3,10.8917400952033,10.8730534235226,10.8925241654919,1.19758694399083,13.3844170724192,6.18140514435307
1972,4,10.5780677869514,10.4698688846588,10.5698473612467,1.35145779425206,13.2709263165792,5.97994535764058
1972,5,10.777080605776,10.8180478857307,10.8243755217521,1.34105840996424,13.9861683384065,5.84475223479732
1972,6,11.6861244934081,11.6312758358002,11.8038889884949,1.35921710465207,14.218939781189,6.68451766967773
1972,7,12.2189014740991,12.2903415546212,12.6188789183094,1.44580383280154,15.5070344863399,6.85953223320746
1972,8,12.4979992726098,12.5730286995262,13.0264051806542,1.64300715863006,15.4461404123614,6.89780161457677
1972,9,12.3063889306605,12.5331073520237,12.824433294932,1.85607957833291,15.3048820495605,6.74237699508667
1972,10,12.0477300961357,12.2488051197503,12.7115048439272,1.65359233427287,14.8935942188386,6.81272191386069
1972,11,12.611050237261,12.8192352063497,13.1735777219137,1.82251382451295,16.7277784029643,7.23641934394836
1972,12,12.6563212833596,12.7911416125554,12.9476532167004,1.65570100670606,16.7710474383446,7.29420291223834
1973,1,10.7355963833069,10.9378813645558,11.3592967987061,1.49737237346588,14.6718227940221,6.57724222060173
1973,2,9.27704981376537,9.27861020297096,9.30482392651694,1.18077147833959,13.255640234266,5.79038427557264
1973,3,9.47420207580992,9.40398690190879,9.61950422102405,1.2535620710563,12.6923145786408,5.8207844918774
1973,4,9.98026323823444,9.88006691339281,9.99077202479045,1.21730504184658,12.6118685722351,5.95346201260885
1973,5,10.1163147641029,10.2097900260187,10.363790604376,1.20502323784718,12.7220195954846,5.58834225131619
1973,6,10.1568933215946,10.229163105011,10.44399766922,1.32483655261656,13.5289812723796,5.6771376768748
1973,7,10.0567731332181,10.1394278696532,10.443057429406,1.39822967216375,12.5145696209323,4.76290612066946
1973,8,10.5842982435668,10.6541684973522,11.0533921949325,1.62182273722566,13.5801489430089,5.31915999997047
1973,9,11.3682633934252,11.4796088194529,11.839226881663,1.91879702134968,14.6151499112447,5.57667266527812
1973,10,12.6016486301319,12.7250653196766,13.4187981082547,2.06425254066966,16.0066939015542,6.2554138552758
1973,11,12.8307942867138,12.9832994063907,13.5020773569743,1.80651004568143,17.3082320213318,7.26487072308858
1973,12,12.4802295956846,12.7790000025431,12.5392948888963,1.84356978524212,17.8065219386931,8.16349135675738
1974,1,11.5113043935081,11.5955048969228,11.817531616457,1.43319447449508,14.8173312833232,7.21555291452716
1974,2,9.89452366827972,9.97556912985302,10.0270567621504,1.2635846162655,12.9961025033678,5.7931821346283
1974,3,10.4590066431384,10.4869238035551,10.6684055020732,1.10672337952977,12.9512319257182,6.08961354532549
1974,4,11.0774893744766,10.8899140539381,10.9125197092692,1.3113253772362,13.6476086298625,6.37745302518209
