"year","month","weighted_mean_sal_92m","mean_sal_92m","median_sal_92m","sd_sal_92m","max_sal_92m","min_sal_92m"
1997,1,34.8295153462891,34.9003125321114,35.0001525878906,0.477175061063266,35.8561973571777,32.7433090209961
1997,2,34.5757750216358,34.6146350049149,34.7544784545898,0.518417670652781,35.5876350402832,32.3404655456543
1997,3,34.5347756750666,34.603855300961,34.6568183898926,0.509891742019977,35.5830574035645,32.381664276123
1997,4,34.3480360646658,34.3987843344645,34.4477691650391,0.445903494150762,35.4426727294922,32.3114700317383
1997,5,34.7418352210408,34.8228591356409,34.8841819763184,0.458663201225641,35.9355430603027,32.8653831481934
1997,6,34.9957606296959,35.0337114767277,35.0489807128906,0.30172062172865,36.129337310791,33.1904067993164
1997,7,35.123680163685,35.1509362630609,35.1512184143066,0.205152719070168,36.0225219726562,34.1151161193848
1997,8,35.3632649159479,35.3702908098648,35.3740043640137,0.164289132297256,36.014892578125,34.5896797180176
1997,9,35.3286943266925,35.3496981135218,35.3816337585449,0.233691443087776,36.1674842834473,34.218879699707
1997,10,35.0888457464556,35.1196201806315,35.2061538696289,0.402269656230065,35.9431762695312,32.9355735778809
1997,11,34.9673834650173,35.0316764230693,35.1390113830566,0.501722583587946,36.04541015625,32.9660949707031
1997,12,34.938203321513,34.9942937062365,35.0886573791504,0.562447287285511,35.9523315429688,32.8623313903809
1998,1,34.4229520596116,34.5218824737956,34.5271148681641,0.743682940780574,35.9859008789062,32.4808502197266
1998,2,33.3925606648073,33.4792987143787,33.4208183288574,0.66141699890592,36.6374702453613,32.1619300842285
1998,3,33.4240466932701,33.5104923850042,33.4665985107422,0.656453742915314,36.0820350646973,32.2687454223633
1998,4,33.7358604979443,33.780201417739,33.7534713745117,0.634197777759921,35.7875289916992,32.2870559692383
1998,5,34.0364370373675,34.0581335626454,34.1303749084473,0.593615941771851,35.2839736938477,32.285530090332
1998,6,34.2695565395698,34.3767125293885,34.4363212585449,0.576216449228602,35.3541679382324,32.363353729248
