Year Day,ShW T,ShW T anom,ShW S,ShW S anom,ShW Vol,ShW Vol anom,Year
80,5.12,-0.80,33.20,0.28,3705.44,-39.89,2003.22
219,11.52,-2.15,32.97,0.38,5108.39,364.85,2003.60
265,16.12,0.28,32.78,0.05,3550.15,-250.98,2003.73
48,4.09,-1.67,33.24,0.21,3528.10,-291.38,2004.13
78,4.53,-1.33,33.14,0.21,3580.56,-159.88,2004.21
149,9.09,-0.43,32.89,0.25,4396.60,-357.68,2004.41
195,10.69,-1.48,32.80,0.24,5838.83,770.14,2004.54
233,13.32,-1.16,32.51,-0.11,4370.20,-92.34,2004.64
266,14.70,-1.16,32.62,-0.11,3947.99,164.48,2004.73
310,14.13,-0.63,32.87,-0.05,4054.35,502.36,2004.85
46,5.75,-0.09,32.71,-0.33,5001.91,1166.01,2005.13
77,4.87,-0.97,32.54,-0.39,4372.39,633.15,2005.21
147,8.36,-1.05,31.98,-0.67,4458.20,-263.22,2005.40
207,12.19,-0.68,32.14,-0.43,5379.97,426.93,2005.57
265,15.88,0.04,32.34,-0.39,3955.25,154.12,2005.73
314,14.19,-0.30,32.48,-0.46,4029.80,458.53,2005.86
48,7.39,1.61,32.82,-0.21,4388.77,565.23,2006.13
76,6.48,0.66,32.84,-0.10,3637.84,-100.41,2006.21
155,11.64,1.79,32.54,-0.08,3036.22,-1816.58,2006.43
202,13.98,1.43,32.43,-0.14,4434.35,-580.07,2006.55
231,15.48,1.08,32.60,-0.01,4041.76,-452.87,2006.63
260,16.06,0.36,32.62,-0.09,3746.95,-149.44,2006.71
50,6.13,0.40,33.25,0.22,2626.58,-1186.88,2007.14
79,5.80,-0.09,33.21,0.28,3313.71,-428.93,2007.22
146,9.32,-0.01,32.88,0.23,4637.07,-57.47,2007.40
201,12.39,-0.14,32.66,0.09,5157.34,139.08,2007.55
231,14.29,-0.06,32.68,0.07,4262.21,-248.35,2007.63
268,14.66,-1.23,32.85,0.11,4334.41,579.15,2007.73
309,14.34,-0.52,32.75,-0.17,4902.32,1356.82,2007.85
79,6.82,0.92,32.55,-0.38,3643.77,-99.71,2008.22
83,6.94,0.94,32.83,-0.08,4600.39,846.85,2008.23
187,12.07,0.41,32.52,-0.05,5456.38,352.31,2008.51
230,13.43,-0.88,32.69,0.08,3985.52,-540.92,2008.63
261,15.32,-0.42,32.69,-0.02,3647.60,-222.28,2008.72
306,14.75,-0.30,33.03,0.12,4178.27,643.43,2008.84
32,6.19,-0.27,32.92,-0.14,3244.46,-666.80,2009.09
77,5.60,-0.25,32.92,-0.01,3839.09,99.28,2009.21
142,8.70,-0.42,32.78,0.12,5341.61,716.15,2009.39
151,9.86,0.24,32.62,-0.01,4434.75,-351.48,2009.41
233,14.91,0.41,32.59,-0.03,4295.53,-158.96,2009.64
269,16.63,0.72,32.81,0.06,3387.17,-351.86,2009.74
